"~id","~labels","id"
"440","Entity","Cinco docentes"
"441","Entity","Neob"
"442","Entity","Núcleo específico optativo"
"444","Entity","35"
"445","Entity","Desenvolvimento de sistemas para web"
"446","Entity","Seis disciplinas"
"453","Entity","Carga horária"
"460","Entity","Oito períodos letivos"
"465","Entity","Fluxo sugerido"
"468","Entity","Análise e projeto de algoritmos"
"469","Entity","Obrigatória"
"470","Entity","Banco de dados"
"471","Entity","Arquitetura de computadores"
"472","Entity","Redes de computadores"
"473","Entity","Heurísticas e modelagem multiobjetivo"
"476","Entity","384"
"477","Entity","Introdução à programação"
"478","Entity","Nenhum"
"479","Entity","Lógica matemática"
"480","Entity","Núcleo"
"481","Entity","Cálculo 1a"
"482","Entity","Noções básicas"
"483","Entity","Números reais"
"484","Entity","Unidade obrigatória"
"485","Entity","Algoritmos e estruturas de dados 1"
"490","Entity","Programação orientada a objetos"
"491","Entity","Herança"
"492","Entity","Algoritmos e estruturas de dados 2"
"493","Entity","Pré-requisitos: lógica matemática"
"494","Entity","Probabilidade e estatística a"
"495","Entity","Pré-requisito: cálculo 1a"
"496","Entity","Visão geral dos computadores modernos"
"497","Entity","Álgebra linear"
"498","Entity","Sistemas lineares e matrizes"
"499","Entity","Espaços vetoriais"
"500","Entity","Conceitos básicos de redes"
"501","Entity","Camada de aplicação"
"503","Entity","Desenvolvimento de sistemas"
"504","Entity","Engenharia de software"
"505","Entity","Requisitos de software"
"506","Entity","Projeto de software"
"514","Entity","Conceitos fundamentais de jogos"
"515","Entity","Modelagem"
"516","Entity","Algoritmo simplex"
"517","Entity","Políticas de segurança"
"518","Entity","Núcleo teo pra total"
"519","Entity","Pré-requisito"
"520","Entity","Agentes inteligentes"
"521","Entity","Hardware e software"
"522","Entity","Gerência de processos"
"523","Entity","Conceitos de hardware e software"
"528","Entity","Não ambígua"
"529","Entity","Verificável"
"532","Entity","Para cada tópico"
"539","Entity","Realizar atividades"
"548","Entity","Pensamento analítico de dados"
"549","Entity","Introdução ao pensamento analítico de dados"
"550","Entity","Análise exploratória de dados"
"551","Entity","Mineração de dados"
"552","Entity","Técnicas de análise de dados"
"553","Entity","Algoritmos para mineração"
"554","Entity","Avaliação de experimentos"
"560","Entity","Processamento digital de sinais e imagens"
"561","Entity","Introdução a sinais"
"562","Entity","Técnicas de análise no tempo e frequência"
"563","Entity","Algoritmos para segmentação"
"578","Entity","Aplicações"
"583","Entity","Sistema"
"584","Entity","Sistemas computacionais de alto desempenho"
"585","Entity","Arquiteturas para computação de alto desempenho"
"586","Entity","Modelos de programação paralela"
"605","Entity","Aprendizado de máquina por reforço"
"606","Entity","Fundamentos de aprendizado por reforço"
"607","Entity","Ambientes de simulação"
"608","Entity","Policy gradients"
"609","Entity","Processamento de dados massivos"
"610","Entity","4h"
"623","Entity","Análise descritiva"
"624","Entity","Análise diagnóstica"
"625","Entity","Análise preditiva"
"626","Entity","Análise prescritiva"
"627","Entity","Teo"
"628","Entity","Modelos acústicos tradicionais"
"629","Entity","Arquiteturas de redes neurais"
"630","Entity","Reconhecimento de fala"
"631","Entity","Tipologias da inovação"
"632","Entity","Sistema de inovação"
"633","Entity","Método científico"
"636","Entity","Conhecimento amplo da área"
"640","Entity","Inserir aluno em projetos integradores"
"645","Entity","Programa de residência em inteligência artificial"
"646","Entity","Cada semestre letivo"
"647","Entity","Preceptores"
"660","Entity","Cepec-1"
"667","Entity","Resolução consuni 10/2008"
"674","Entity","Pls"
"675","Entity","Disciplina obrigatória"
"765","Entity","Boldrini"
"768","Entity","Lipschutz"
"913","Entity","Taha"
"940","Entity","Bibliografia básica"
"941","Entity","Bibliografia complementar"
"942","Entity","Oliveira"
